id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
750,James,Rowswell,Rowswell,a,,,4.0,700,180.0,0.0,641,228.0,0.0,471.0,186.0,0,0,0.0,0,0.0,2,4,0.0,0.0,0.0,-0.5,0.0,604.0,223.0,,,594.0,223.0,585.0,223.0,556.0,219.0,596.0,223.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Matty,Cash,Cash,d,Calf injury - 75% chance of playing,,4.7,381,63.0,8.7,38,13.0,0.2,347.0,127.0,0,-1,1.0,2,-2.0,387,3789,0.0,21.3,0.2,-0.2,3.7,94.0,33.0,75.0,75.0,62.0,28.0,50.0,7.0,148.0,29.0,67.0,11.0,5.0,,,,,,,0.04,0.09,0.13,1.39,0.0,0.27,1.03,1.03,5.74,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.0,8717.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Lucas,Digne,Digne,a,,,4.5,408,73.0,1.5,160,62.0,0.5,305.0,107.0,0,0,0.0,0,0.0,422,110,0.1,16.4,0.5,0.0,3.1,173.0,66.0,100.0,100.0,204.0,80.0,92.0,20.0,234.0,61.0,178.0,60.0,,2.0,,,,,,0.04,0.15,0.19,1.35,0.0,0.39,0.91,1.04,5.16,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Emiliano,Buendía Stati,Buendía,a,,,5.3,189,117.0,0.4,270,93.0,1.0,250.0,112.0,0,0,0.0,-2,2.0,146,77,0.2,14.9,1.0,0.5,2.9,207.0,84.0,100.0,100.0,173.0,67.0,95.0,71.0,81.0,49.0,100.0,60.0,,6.0,2.0,,,,,0.18,0.11,0.29,1.43,0.0,0.2,1.06,1.13,9.63,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Samuel,Iling-Junior,Iling Jr,u,has joined Pisa on loan for the rest of the season.,,5.5,150,94.0,0.0,685,279.0,0.0,789.0,349.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,810.0,362.0,0.0,0.0,809.0,361.0,808.0,361.0,806.0,360.0,809.0,361.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Donyell,Malen,Malen,u,has joined Roma on loan for the rest of the season.,,5.1,227,139.0,0.4,275,96.0,0.0,757.0,325.0,0,0,0.0,-4,4.0,0,23,0.0,10.8,0.0,0.0,2.6,258.0,110.0,0.0,0.0,281.0,121.0,267.0,162.0,86.0,54.0,226.0,110.0,,,,,,,,0.57,0.05,0.62,1.49,0.0,0.14,1.41,0.7,2.25,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,John,McGinn,McGinn,a,,,5.3,185,114.0,0.5,261,90.0,0.0,769.0,333.0,0,0,0.0,-2,2.0,111,24,0.0,13.4,0.0,-0.5,3.2,162.0,72.0,100.0,100.0,188.0,78.0,62.0,50.0,143.0,82.0,114.0,66.0,,,,,,,,0.14,0.11,0.25,1.5,0.0,0.4,1.19,1.19,7.13,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Jamaldeen,Jimoh-Aloba,Jimoh-Aloba,u,has joined West Brom on loan for the rest of the season.,,4.5,469,287.0,0.1,559,205.0,0.0,644.0,244.0,0,0,0.0,0,0.0,0,6,0.0,0.2,0.0,0.0,1.0,478.0,215.0,0.0,0.0,506.0,231.0,481.0,234.0,703.0,292.0,508.0,233.0,,,,,,,,0.0,0.0,0.0,6.86,0.0,0.0,0.0,0.0,11.25,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Kadan,Young,Young,u,has joined Reading on loan for the rest of the season.,,4.3,609,355.0,0.5,252,87.0,0.0,549.0,179.0,0,0,0.0,-2,2.0,0,77,0.0,0.0,0.0,0.0,0.0,655.0,248.0,0.0,0.0,645.0,238.0,641.0,243.0,618.0,232.0,647.0,240.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Ollie,Watkins,Watkins,a,,,8.5,11,5.0,7.8,48,7.0,1.2,237.0,29.0,0,0,0.0,-5,5.0,4160,576,0.1,11.8,1.2,0.7,3.6,115.0,9.0,100.0,100.0,135.0,12.0,149.0,11.0,5.0,4.0,31.0,6.0,,,3.0,,,,,0.42,0.04,0.46,1.47,0.0,0.34,1.22,1.05,3.11,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4312.0,2106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
