id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
759,Marli,Salmon,Salmon,a,,,4.0,729,205.0,0.0,688,239.0,0.0,512.0,210.0,0,0,0.0,0,0.0,1,13,0.0,0.0,1.0,0.5,0.0,628.0,242.0,,,618.0,241.0,610.0,241.0,580.0,236.0,620.0,241.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
762,Joél,Drakes-Thomas,Drakes-Thomas,a,,,4.5,514,317.0,0.0,777,337.0,0.0,687.0,279.0,0,0,0.0,0,0.0,0,4,0.0,0.4,0.0,-0.5,1.0,484.0,221.0,,,490.0,227.0,467.0,225.0,735.0,316.0,497.0,230.0,,,,,,,,0.0,0.0,0.0,9.39,0.0,0.0,12.86,0.0,38.57,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,Mark,Travers,Travers,a,,,4.3,585,28.0,0.1,457,69.0,0.0,544.0,83.0,0,0,0.0,-2,2.0,1,24,0.0,0.0,0.4,0.0,0.0,644.0,89.0,100.0,75.0,634.0,89.0,629.0,80.0,605.0,69.0,636.0,89.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,Harry,Tyrer,Tyrer,u,has joined Cardiff City permanently.,,3.9,759,80.0,0.1,490,73.0,0.0,429.0,40.0,0,0,0.0,-1,1.0,0,17,0.0,0.0,0.0,0.0,0.0,552.0,49.0,0.0,0.0,542.0,49.0,530.0,33.0,497.0,20.0,544.0,49.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,Jarrad,Branthwaite,Branthwaite,a,,,5.3,198,23.0,0.2,348,126.0,3.4,79.0,23.0,9,0,0.0,-2,2.0,1902,76,0.6,3.4,3.9,3.4,3.0,195.0,75.0,100.0,100.0,344.0,130.0,375.0,133.0,310.0,94.0,370.0,128.0,,,,,,,,0.05,0.02,0.07,1.16,0.0,0.0,1.32,0.88,8.16,28,9.0,90.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,2732.0,313.0,0.0,0.04000000000000001,0.0,0.03999999999999998,0.9699999999999998,50.400000000000006,0.3000000000000007,33.0,8.400000000000002,2.0,8.0,3.0,10.0
291,James,Tarkowski,Tarkowski,a,,,5.7,112,8.0,10.7,33,12.0,1.8,194.0,71.0,3,0,0.0,2,-2.0,3775,5737,0.3,21.2,2.3,1.8,4.3,44.0,20.0,,,9.0,3.0,173.0,42.0,97.0,11.0,53.0,7.0,,,,,,,,0.07,0.05,0.12,1.44,0.0,0.32,1.18,1.0,10.71,28,3.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,9552.0,40900.0,0.0,0.0,0.0,0.0,0.970000000000006,29.600000000000023,0.0,0.0,3.0,0.0,13.0,1.0,13.0
135,Yoane,Wissa,Wissa,a,,,7.3,24,9.0,0.6,236,34.0,0.8,298.0,40.0,1,0,0.0,-2,2.0,96,270,0.1,2.6,0.3,0.8,1.6,398.0,48.0,100.0,100.0,407.0,45.0,364.0,47.0,196.0,41.0,358.0,43.0,,,,,,,,0.41,0.11,0.52,1.5,0.0,0.21,1.71,0.86,3.85,28,1.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,808.0,1142.0,0.0,0.040000000000000036,0.0,0.040000000000000036,0.9100000000000001,0.0,1.3999999999999986,4.0,0.3000000000000007,0.0,0.0,0.0,0.0
507,Ola,Aina,Aina,a,,,4.7,379,63.0,2.3,127,48.0,2.2,157.0,55.0,0,0,0.0,-3,3.0,302,544,0.5,7.7,1.7,2.2,3.3,145.0,55.0,100.0,100.0,283.0,112.0,236.0,64.0,314.0,98.0,315.0,107.0,,,,,,,,0.03,0.06,0.09,1.64,0.0,0.28,1.21,1.02,6.97,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1133.0,2167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Ethan,Nwaneri,Nwaneri,u,has joined Marseille on loan for the rest of the season.,,5.0,270,165.0,0.1,449,154.0,0.0,749.0,322.0,0,0,0.0,-5,5.0,0,23,0.0,1.6,0.0,0.0,1.3,430.0,193.0,0.0,0.0,461.0,208.0,386.0,196.0,365.0,188.0,440.0,196.0,,,,,,,,0.13,0.04,0.17,0.4,0.0,0.55,0.0,0.0,7.09,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Martín,Zubimendi Ibáñez,Zubimendi,a,,,5.3,199,124.0,5.0,71,25.0,4.7,27.0,12.0,0,0,0.0,-2,2.0,2120,4354,0.9,20.6,5.7,5.2,3.9,80.0,38.0,100.0,100.0,59.0,15.0,81.0,60.0,100.0,62.0,61.0,41.0,,,,,,,,0.1,0.07,0.17,0.7,0.0,0.5,0.73,1.03,9.13,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6899.0,35641.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
