id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
324,Alex,Iwobi,Iwobi,a,,,6.3,66,44.0,0.8,210,73.0,4.6,36.0,17.0,13,0,0.0,-2,2.0,2372,198,0.7,12.5,4.6,4.6,3.8,93.0,45.0,100.0,100.0,124.0,40.0,27.0,25.0,137.0,79.0,61.0,39.0,5.0,,,,,,,0.06,0.17,0.23,1.46,0.0,0.15,1.73,1.07,6.4,27,13.0,87.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,48.0,2406.0,223.0,0.0,0.2500000000000001,0.18999999999999995,0.4400000000000004,1.7100000000000009,58.39999999999998,40.69999999999999,22.0,12.099999999999994,0.0,0.0,2.0,2.0
6,William,Saliba,Saliba,a,,,6.1,84,4.0,13.8,26,10.0,2.8,132.0,44.0,2,0,0.0,1,-1.0,3535,17912,0.5,14.1,3.3,3.8,3.7,101.0,36.0,100.0,100.0,125.0,55.0,217.0,54.0,336.0,110.0,225.0,75.0,,,,,,,,0.03,0.03,0.06,0.62,0.0,0.48,0.71,1.05,6.22,27,2.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,3822.0,20314.0,0.0,0.24,0.010000000000000009,0.25,0.7600000000000016,15.399999999999977,2.5,7.0,2.5,1.0,6.0,4.0,7.0
26,Martín,Zubimendi Ibáñez,Zubimendi,a,,,5.3,201,125.0,5.4,67,23.0,4.8,29.0,13.0,2,0,0.0,-2,2.0,3570,13142,0.9,20.6,5.3,5.8,3.9,83.0,39.0,100.0,100.0,53.0,14.0,76.0,56.0,96.0,59.0,52.0,35.0,,,,,,,,0.1,0.07,0.17,0.7,0.0,0.5,0.73,1.03,9.13,27,2.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,4189.0,15647.0,0.0,0.0,0.020000000000000018,0.019999999999999574,0.7600000000000016,11.200000000000045,4.100000000000023,6.0,2.1000000000000085,3.0,1.0,3.0,7.0
699,Douglas Luiz,Soares de Paulo,Douglas Luiz,a,,,4.9,319,197.0,0.1,480,167.0,1.8,215.0,95.0,2,0,0.0,-1,1.0,223,140,0.4,4.1,2.3,1.8,1.7,382.0,168.0,100.0,100.0,329.0,149.0,126.0,87.0,316.0,165.0,280.0,140.0,,,,,,,,0.03,0.17,0.2,1.15,0.0,0.14,1.39,1.25,10.82,27,2.0,86.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,310.0,155.0,0.0,0.0,0.18999999999999995,0.18999999999999995,1.3500000000000005,19.0,32.30000000000001,0.0,5.099999999999994,4.0,1.0,5.0,10.0
188,Hannes,Delcroix,Delcroix,u,has joined Lugano permanently.,,3.8,791,239.0,0.2,360,131.0,0.0,408.0,153.0,0,0,0.0,-2,2.0,0,100,0.0,0.0,0.0,0.0,0.0,521.0,186.0,0.0,0.0,510.0,185.0,497.0,183.0,462.0,174.0,513.0,185.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,Owen,Dodgson,Dodgson,u,Has joined Stockport County on loan for the rest of the season.,,4.0,682,172.0,0.0,722,250.0,0.0,483.0,190.0,0,0,0.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,590.0,218.0,0.0,0.0,579.0,217.0,572.0,217.0,540.0,211.0,582.0,217.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,Oliver,Sonne,Sonne,u,has joined Sparta Prague on loan for the rest of the season.,,3.8,802,250.0,0.2,364,133.0,0.0,417.0,162.0,0,0,0.0,-2,2.0,0,213,0.0,3.4,0.0,0.0,1.9,335.0,125.0,0.0,0.0,407.0,152.0,392.0,142.0,353.0,115.0,417.0,150.0,,,,,,,,0.3,0.04,0.34,2.08,0.0,0.0,2.2,0.55,3.84,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,Axel,Tuanzebe,Tuanzebe,i,Achilles injury - Expected back 14 Mar,,3.9,749,214.0,1.0,198,77.0,1.0,266.0,95.0,0,0,0.0,-1,1.0,9,528,0.3,6.9,0.0,0.0,2.5,264.0,101.0,0.0,0.0,232.0,89.0,426.0,153.0,312.0,98.0,328.0,113.0,,,,,,,,0.06,0.01,0.07,2.41,0.0,0.1,2.13,1.06,9.38,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,Joe,Worrall,Worrall,a,,,3.8,787,235.0,0.2,405,148.0,1.4,235.0,85.0,4,0,0.0,-2,2.0,533,61,0.4,3.7,0.9,0.4,1.8,351.0,128.0,100.0,100.0,358.0,135.0,460.0,167.0,421.0,157.0,411.0,147.0,,,,,,,,0.0,0.01,0.01,2.09,0.0,0.0,1.62,0.81,12.66,27,4.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,562.0,65.0,0.0,0.0,0.0,0.0,1.9900000000000002,21.39999999999999,0.19999999999999996,2.0,2.3999999999999995,1.0,10.0,1.0,11.0
211,Aaron,Ramsey,A.Ramsey,u,has joined Leicester City on loan for the rest of the season.,,4.4,541,322.0,1.4,158,51.0,0.0,590.0,204.0,0,0,0.0,-1,1.0,0,174,0.0,0.0,0.0,0.0,0.0,669.0,257.0,0.0,0.0,658.0,247.0,655.0,253.0,633.0,242.0,661.0,250.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
