id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
711,Andre,Harriman-Annous,Harriman-Annous,a,,,4.4,570,342.0,0.0,701,293.0,0.0,614.0,224.0,0,0,0.0,-1,1.0,33,27,0.0,0.0,1.0,2.0,0.0,684.0,267.0,,,678.0,261.0,673.0,265.0,653.0,257.0,681.0,264.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
99,Daniel,Adu-Adjei,Adu-Adjei,u,has joined HNK Rijeka permanently.,,4.4,566,82.0,0.1,430,63.0,0.0,612.0,64.0,0,0,0.0,-1,1.0,0,45,0.0,0.0,0.0,0.0,0.0,683.0,75.0,0.0,0.0,676.0,75.0,672.0,74.0,651.0,74.0,679.0,75.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
782,Fraser,Forster,Forster,a,,,4.0,658,40.0,0.0,685,80.0,0.0,470.0,53.0,0,0,0.0,0,0.0,142,76,0.0,0.0,0.0,0.0,0.0,570.0,62.0,,,560.0,62.0,550.0,47.0,516.0,33.0,563.0,62.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
176,Adrian,Mazilu,Mazilu,u,has joined Dinamo Bucharest permanently.,,4.5,465,282.0,0.0,686,282.0,0.0,653.0,253.0,0,0,0.0,0,0.0,0,7,0.0,0.0,0.0,0.0,0.0,717.0,294.0,0.0,0.0,712.0,289.0,709.0,292.0,692.0,285.0,714.0,291.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
274,Asher,Agbinone,Agbinone,a,,,4.3,612,358.0,0.1,496,175.0,0.0,574.0,200.0,0,0,0.0,-2,2.0,835,238,0.0,0.0,0.0,0.0,0.0,653.0,249.0,,,643.0,239.0,640.0,245.0,615.0,233.0,646.0,242.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
306,Callum,Bates,Bates,a,,,4.3,609,356.0,0.1,487,170.0,0.0,571.0,198.0,0,0,0.0,-2,2.0,432,205,0.0,0.0,0.0,0.0,0.0,651.0,247.0,,,641.0,237.0,638.0,243.0,613.0,231.0,644.0,240.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1099,342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
770,Seth,Ridgeon,Ridgeon,a,,,4.5,503,311.0,0.0,777,337.0,0.0,686.0,279.0,0,0,0.0,0,0.0,19,19,0.0,0.0,0.0,-0.5,0.0,744.0,314.0,,,743.0,313.0,738.0,314.0,724.0,310.0,744.0,314.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
339,Illan,Meslier,Meslier,a,,,4.1,653,37.0,0.3,301,40.0,0.0,536.0,78.0,0,-1,1.0,-4,4.0,130,190,0.0,0.0,0.0,0.0,0.0,631.0,86.0,,,621.0,86.0,614.0,74.0,584.0,60.0,624.0,86.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
373,Virgil,van Dijk,Virgil,a,,,5.9,90,5.0,21.6,18,6.0,6.4,9.0,1.0,17,0,0.0,-1,1.0,74965,7806,1.1,18.8,6.9,6.9,4.3,46.0,16.0,,,5.0,2.0,189.0,47.0,82.0,6.0,41.0,3.0,,,,,,,,0.07,0.03,0.1,1.17,0.0,0.31,1.35,1.0,9.65,26,17,90,1,0,1,0,0,0,0,0,0,0,1,3,45,81202,43789,0.0,0.7899999999999998,0.010000000000000009,0.7999999999999998,0.629999999999999,61.0,1.5999999999999943,47.0,11.0,0,13,1,13
692,Giovanni,Leoni,Leoni,i,Knee injury - Expected back 01 Sep,,4.9,350,57.0,0.0,709,245.0,0.0,747.0,257.0,0,0,0.0,-1,1.0,10,12,0.0,0.0,0.0,0.0,0.0,778.0,261.0,0.0,0.0,777.0,261.0,774.0,261.0,769.0,261.0,778.0,261.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
