id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
747,a,,,4.0,725,201.0,0,0.0,0,0.0,0.0,635,225.0,6,1,1.0,454.0,166.0,0,18,0.2,365.0,128.0,0.0,1.5,0.0,2486,20,1967,27,0.2,-0.3,0.12,0.49,0.61,3.21,0.1,0.39,0.49,2.56,21.8,441.0,165.0,34.9,365.0,129.0,9.0,410.0,152.0,6.6,437.0,158.0,,,,28,,Ezra,Mayers,Mayers,,,113,0,0,0,3,0,0,0,0,0,0,0,5,,,,0.0,0.0,2.39,0.0,3.98,0,5,6
752,a,,,4.0,736,212.0,0,0.0,0,0.0,0.0,653,230.0,0,0,0.0,633.0,246.0,0,0,0.0,522.0,217.0,0.0,0.0,0.0,2028,20,1726,38,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0,246.0,0.0,615.0,246.0,0.0,588.0,244.0,0.0,625.0,246.0,,,,28,,Airidas,Golambeckis,Golambeckis,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
759,a,,,4.0,729,205.0,0,0.0,0,0.0,0.0,687,239.0,0,0,0.0,629.0,242.0,0,0,0.0,518.0,213.0,0.0,0.0,0.0,1281,8,1057,29,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619.0,242.0,0.0,611.0,242.0,0.0,583.0,239.0,0.0,621.0,242.0,,,,28,,Marli,Salmon,Salmon,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
758,a,,,4.5,506,312.0,0,0.0,0,0.0,0.0,736,310.0,5,1,1.0,483.0,220.0,0,20,0.4,342.0,157.0,0.1,1.1,0.0,1749,20,1066,21,0.4,-0.1,0.03,0.02,0.05,0.97,0.12,0.08,0.2,3.8,10.4,456.0,204.0,11.9,411.0,203.0,4.0,433.0,213.0,2.4,464.0,210.0,,,,28,,Mohamadou,Kanté,Mohamadou Kanté,,,23,0,0,0,0,0,0,0,0,0,0,0,10,,,,0.0,0.0,0.0,0.0,39.13,4,1,5
785,i,0.0,0.0,5.5,151,38.0,0,0.0,0,0.0,0.0,735,89.0,8,0,1.6,396.0,47.0,0,21,0.6,322.0,43.0,0.1,1.5,0.0,4507,8,3605,66,0.0,0.0,0.34,0.07,0.41,3.74,0.12,0.03,0.15,1.35,19.6,446.0,53.0,53.4,334.0,39.0,21.0,380.0,55.0,9.4,418.0,52.0,,,,28,,Pablo Felipe,Pereira de Jesus,Pablo,Calf injury - Unknown return date,,250,0,0,0,4,0,0,0,0,0,0,3,25,,,,0.0,0.0,1.44,1.08,9.0,9,5,11
762,a,,,4.5,513,316.0,0,0.0,0,0.0,0.0,777,337.0,2,0,1.0,484.0,221.0,0,6,0.0,690.0,281.0,0.0,0.4,0.0,649,6,367,9,0.0,-0.5,0.0,0.0,0.0,0.73,0.0,0.0,0.0,9.39,1.4,492.0,227.0,1.0,467.0,225.0,0.0,735.0,316.0,0.3,498.0,230.0,,,,28,,Joél,Drakes-Thomas,Drakes-Thomas,,,7,0,0,0,1,0,0,0,0,0,0,0,3,,,,0.0,0.0,12.86,0.0,38.57,1,0,2
288,a,100.0,75.0,4.3,585,28.0,0,0.0,-2,2.0,0.1,457,69.0,0,0,0.0,645.0,89.0,0,0,0.0,547.0,83.0,0.0,0.0,0.0,4511,29,11985,56,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,635.0,89.0,0.0,630.0,80.0,0.0,606.0,69.0,0.0,637.0,89.0,,,,28,,Mark,Travers,Travers,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
289,u,0.0,0.0,3.9,759,80.0,0,0.0,-1,1.0,0.1,490,73.0,0,0,0.0,553.0,49.0,0,0,0.0,435.0,40.0,0.0,0.0,0.0,4633,0,9936,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543.0,49.0,0.0,531.0,33.0,0.0,500.0,20.0,0.0,545.0,49.0,,,,28,,Harry,Tyrer,Tyrer,has joined Cardiff City permanently.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
290,a,100.0,100.0,5.3,198,23.0,0,0.0,-2,2.0,0.3,327,119.0,18,9,3.0,194.0,73.0,0,56,3.4,96.0,29.0,0.6,3.4,0.0,23251,6223,72679,259,3.9,3.4,0.22,0.08,0.3,5.33,0.05,0.02,0.07,1.18,106.4,344.0,130.0,29.5,375.0,133.0,57.0,311.0,95.0,19.3,369.0,128.0,,,,28,,Jarrad,Branthwaite,Branthwaite,,,408,1,1,0,6,0,0,0,1,0,0,4,38,,,,0.0,0.0,1.32,0.88,8.38,8,30,20
291,a,,,5.7,112,8.0,0,0.0,2,-2.0,10.7,33,12.0,121,3,4.3,42.0,19.0,6,442,1.8,203.0,75.0,0.3,21.2,0.0,2295983,10794,1791010,14327,2.3,1.8,1.91,1.31,3.22,40.44,0.07,0.05,0.12,1.44,700.8,10.0,4.0,184.8,177.0,43.0,246.0,97.0,11.0,113.5,55.0,7.0,,,,28,,James,Tarkowski,Tarkowski,,,2520,0,1,9,33,0,0,0,5,0,0,28,326,,,,0.0,0.32,1.18,1.0,10.71,38,262,67
135,a,100.0,100.0,7.3,24,9.0,0,0.0,-2,2.0,0.6,238,34.0,19,1,1.6,400.0,48.0,0,57,0.8,303.0,42.0,0.1,2.6,0.0,236235,272,449336,680,0.3,0.8,1.95,0.53,2.48,7.01,0.42,0.11,0.53,1.5,52.0,407.0,45.0,35.5,364.0,47.0,137.0,199.0,42.0,21.7,358.0,43.0,,,,28,,Yoane,Wissa,Wissa,,,421,1,0,1,8,0,0,0,1,0,0,4,18,,,,0.0,0.21,1.71,0.86,3.85,2,3,13
535,i,0.0,0.0,4.0,681,171.0,0,0.0,0,0.0,0.1,580,208.0,13,0,2.2,302.0,113.0,0,44,0.0,475.0,184.0,0.0,3.2,0.0,7322,2,6193,181,0.0,0.0,0.0,0.02,0.02,6.04,0.0,0.01,0.01,1.84,58.2,401.0,153.0,8.7,429.0,155.0,2.0,439.0,163.0,6.8,436.0,157.0,,,,28,,Dennis,Cirkin,Cirkin,Hamstring injury - Expected back 21 Mar,,296,0,0,1,2,0,0,0,1,0,0,3,26,,,,0.0,0.3,0.61,0.91,7.91,8,18,7
