id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
488,Bruno,Guimarães Rodriguez Moura,Bruno G.,i,Hamstring injury - Expected back 11 Apr,,6.8,44,27.0,5.8,63,22.0,2.8,135.0,62.0,0,-1,1.0,3,-3.0,351,50981,0.4,19.7,0.0,0.0,5.8,6.0,4.0,0.0,0.0,13.0,4.0,13.0,13.0,54.0,33.0,12.0,9.0,3.0,5.0,2.0,,,,,0.21,0.16,0.37,1.16,0.0,0.27,1.38,0.98,8.92,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576.0,109928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
489,Jacob,Murphy,J.Murphy,a,,,5.9,91,57.0,0.6,231,80.0,1.8,206.0,89.0,6,0,0.0,-6,6.0,534,279,0.3,10.2,1.3,1.8,2.6,259.0,111.0,100.0,100.0,216.0,93.0,81.0,60.0,79.0,48.0,116.0,66.0,,,,,,,,0.23,0.19,0.42,1.21,0.0,0.48,1.04,1.04,4.47,28,6.0,34.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,872.0,530.0,0.0,0.08000000000000007,0.040000000000000036,0.1200000000000001,1.0500000000000007,35.80000000000001,6.300000000000011,23.0,6.5,0.0,0.0,4.0,4.0
490,Joelinton Cássio,Apolinário de Lira,Joelinton,a,,,5.9,93,59.0,0.3,329,110.0,1.0,280.0,128.0,5,0,0.0,-1,1.0,502,218,0.2,10.3,0.5,1.0,2.9,204.0,86.0,100.0,100.0,198.0,81.0,118.0,81.0,75.0,44.0,121.0,69.0,,,,,,,,0.12,0.07,0.19,1.21,0.0,0.3,1.27,1.09,10.98,28,5.0,90.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,1104.0,341.0,0.0,0.1399999999999999,0.1100000000000001,0.25,2.129999999999999,28.200000000000017,31.799999999999983,27.0,8.700000000000003,2.0,0.0,5.0,7.0
491,Sandro,Tonali,Tonali,a,,,5.3,195,121.0,1.1,186,66.0,2.6,140.0,64.0,6,0,0.0,-2,2.0,2157,942,0.5,13.0,2.1,2.6,2.5,274.0,117.0,100.0,100.0,168.0,65.0,53.0,45.0,162.0,91.0,106.0,62.0,1.0,1.0,,,,,,0.07,0.09,0.16,1.19,0.0,0.32,1.39,1.11,9.34,28,6.0,90.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,27.0,4803.0,1483.0,0.0,0.040000000000000036,0.08000000000000007,0.1200000000000001,2.1300000000000026,38.400000000000034,44.80000000000001,9.0,9.200000000000003,2.0,0.0,3.0,5.0
492,Antoñito,Cordero Campillo,Antoñito C.,u,has joined Cadiz on loan for the rest of the season.,,4.9,349,217.0,0.0,675,273.0,0.0,741.0,316.0,0,0,0.0,-1,1.0,0,1,0.0,0.0,0.0,0.0,0.0,781.0,340.0,0.0,0.0,780.0,339.0,776.0,339.0,772.0,337.0,780.0,339.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
495,Isaac,Hayden,Hayden,u,Has departed the club as a free agent.,,4.5,411,251.0,0.0,766,329.0,0.0,613.0,222.0,0,0,0.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,692.0,271.0,0.0,0.0,686.0,265.0,680.0,268.0,661.0,260.0,688.0,267.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
496,Garang,Kuol,Kuol,u,has joined Sparta Prague permanently.,,4.4,559,333.0,0.0,630,246.0,0.0,598.0,213.0,0,0,0.0,-1,1.0,0,3,0.0,0.0,0.0,0.0,0.0,681.0,265.0,0.0,0.0,673.0,257.0,668.0,261.0,648.0,252.0,675.0,259.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
497,Lewis,Miley,L.Miley,i,Dead leg - Expected back 14 Mar,,4.4,557,332.0,2.4,124,40.0,0.0,596.0,212.0,0,-1,1.0,-1,1.0,240,8503,0.0,13.2,0.0,0.0,3.1,169.0,72.0,0.0,0.0,202.0,83.0,149.0,102.0,205.0,114.0,199.0,100.0,,,,,,,,0.11,0.16,0.27,1.08,0.0,0.16,1.27,0.87,9.77,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0,18777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
498,Joe,White,White,u,has joined Bradford City on loan for the rest of the season.,,4.5,438,262.0,0.0,772,332.0,0.0,631.0,233.0,0,0,0.0,0,0.0,0,3,0.0,0.0,0.0,0.0,0.0,706.0,281.0,0.0,0.0,700.0,275.0,697.0,278.0,680.0,271.0,702.0,277.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,William,Osula,Osula,a,,,5.4,182,45.0,0.2,374,59.0,1.0,277.0,35.0,1,0,0.0,-1,1.0,92,110,0.2,4.3,0.5,1.0,1.5,412.0,49.0,100.0,100.0,414.0,47.0,402.0,53.0,287.0,49.0,401.0,48.0,,,,,,,,0.22,0.01,0.23,1.54,0.0,0.34,2.06,0.34,3.44,28,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,192.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
674,Aaron,Ramsdale,Ramsdale,a,,,4.8,363,14.0,0.7,224,29.0,0.0,708.0,92.0,0,0,0.0,-2,2.0,159,399,0.0,2.3,-0.5,0.0,1.6,389.0,30.0,,,356.0,27.0,425.0,10.0,750.0,84.0,412.0,26.0,,,,,,,,0.0,0.0,0.0,1.3,1.63,0.0,1.63,0.98,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.0,776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
684,Malick,Thiaw,Thiaw,a,,,5.0,263,40.0,4.4,83,27.0,3.2,109.0,36.0,1,0,0.0,0,0.0,4504,14979,0.6,20.2,2.7,3.2,4.0,60.0,24.0,,,18.0,7.0,251.0,74.0,73.0,6.0,70.0,13.0,,,,,,,,0.13,0.04,0.17,1.39,0.0,0.17,1.66,1.02,9.01,28,1.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,21380.0,21382.0,0.0,0.33000000000000007,0.13,0.45999999999999996,2.129999999999999,14.0,13.5,13.0,4.1000000000000085,0.0,4.0,4.0,4.0
689,Seung-Soo,Park,Seung soo,a,,,4.3,621,365.0,0.5,256,89.0,0.0,572.0,200.0,0,0,0.0,-2,2.0,1940,1717,0.0,0.0,-0.5,0.0,0.0,663.0,256.0,,,653.0,246.0,649.0,251.0,626.0,240.0,655.0,248.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3325.0,2403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
714,Nick,Woltemade,Woltemade,a,,,6.8,47,17.0,7.5,54,9.0,1.0,283.0,37.0,1,0,0.0,-2,2.0,1815,19525,0.1,12.6,0.5,1.0,3.4,138.0,13.0,,,139.0,14.0,179.0,15.0,50.0,20.0,98.0,15.0,,,3.0,,,,,0.37,0.05,0.42,1.18,0.0,0.35,1.47,1.12,4.65,28,1.0,55.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7123.0,31016.0,0.0,0.0,0.010000000000000009,0.009999999999999787,1.0799999999999983,0.0,1.8999999999999773,0.0,0.19999999999998863,0.0,0.0,2.0,2.0
765,Leo,Shahar,Shahar,a,,,4.0,713,190.0,0.0,657,232.0,0.0,504.0,200.0,0,0,0.0,0,0.0,55,65,0.0,0.0,-0.5,0.0,0.0,616.0,230.0,,,606.0,230.0,598.0,230.0,570.0,227.0,608.0,230.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
772,Sam,Alabi,Alabi,a,,,4.5,512,315.0,0.0,782,340.0,0.0,689.0,280.0,0,0,0.0,0,0.0,15,13,0.0,0.0,-0.5,0.0,0.0,754.0,320.0,,,753.0,319.0,747.0,319.0,734.0,315.0,753.0,319.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Oleksandr,Zinchenko,Zinchenko,u,has joined Ajax permanently.,,4.9,305,47.0,0.2,360,131.0,0.0,720.0,250.0,0,0,0.0,-1,1.0,0,108,0.0,1.4,0.0,0.0,1.4,422.0,152.0,0.0,0.0,377.0,144.0,286.0,91.0,374.0,131.0,373.0,131.0,,,,,,,,0.02,0.09,0.11,1.28,0.0,0.0,1.53,1.02,6.14,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,Stefan,Ortega Moreno,Ortega Moreno,d,Calf injury - 75% chance of playing,,4.7,376,15.0,0.2,373,55.0,2.2,166.0,13.0,0,0,0.0,-3,3.0,166,295,0.5,2.3,1.3,2.2,3.7,97.0,10.0,75.0,,388.0,29.0,751.0,88.0,740.0,80.0,435.0,29.0,,,,,,,,0.0,0.0,0.0,1.55,2.67,0.33,1.33,1.0,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522.0,539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426,James,McAtee,McAtee,a,,,5.0,258,157.0,0.1,497,178.0,0.2,382.0,172.0,0,0,0.0,-5,5.0,20,59,0.0,1.4,-0.3,0.2,0.9,506.0,238.0,,,449.0,200.0,350.0,186.0,409.0,201.0,434.0,195.0,,,5.0,,,,,0.01,0.09,0.1,2.22,0.0,0.0,4.24,0.53,5.82,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
502,Matz,Sels,Sels,a,,,4.6,396,19.0,4.8,75,13.0,0.6,310.0,21.0,2,0,0.0,-4,4.0,79,4331,0.1,13.7,0.1,0.0,3.0,188.0,19.0,100.0,0.0,80.0,15.0,423.0,8.0,739.0,79.0,259.0,15.0,,,,,,,,0.0,0.0,0.0,1.51,3.06,0.2,1.48,1.02,0.0,28,2.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,16.0,96.0,9236.0,0.0,0.0,0.0,0.0,1.3100000000000023,31.80000000000001,0.0,0.0,3.1999999999999957,0.0,0.0,9.0,0.0
